type,date,model,accuracy,f1
tfidf,2019-07-06 10:55:00.832614,random_forest,0.3538135593220339,0.3538135593220339
word2vec,mlp,6.5677966859381085,0.0
tfidf,2019-07-08 12:14:08.028461,mlp,0.6292372881355932,0.6292372881355932
tfidf,2019-07-08 12:14:08.028461,bilstm,0.2592372881355932,0.2692372881355932
tfidf,2019-07-08 12:14:08.028461,bilstm,0.23925341355932,0.239237284543355932
tfidf,2019-07-08 12:14:08.028461,logreg,0.5954536256563565,0.5853456363335663
tfidf,2019-07-08 12:14:08.028461,mlp,0.5954536256563565,0.5853456363335663
tfidf,2019-07-08 12:27:39.828457,mlp,0.6588983050847458,0.6588983050847458
